ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
2033,A.J. Highsmith,69,4,0.7,1.6,0.405,0.2,0.2,0.733,0.5,1.4,0.354,0.1,0.2,0.727,0.7,0.3,0.1,0,0.4,0.2,1.9,1.244
2436,A.J. Holland,26,12.1,0.5,1.8,0.25,0.2,0.8,0.227,0.3,1,0.269,0.3,0.5,0.643,1,1.4,0.7,0.1,1.1,1,1.5,1.935
381,A.J. Jacobson,70,33,3.8,8.8,0.436,2.1,4.3,0.483,1.8,4.5,0.39,2.6,3.2,0.789,4.2,1.6,0.6,0.4,1.4,2.7,12,8.515
853,A.J. John,55,11.4,0.7,1.7,0.379,0.7,1.6,0.404,0,0.1,0,0.3,0.5,0.643,2.4,0.1,0.2,0.4,0.7,1.9,1.6,2.491
1543,A.J. Jones,33,20.2,3.2,6.9,0.459,2.3,4.8,0.472,0.9,2.1,0.429,1.3,2.2,0.611,3.3,1.6,0.6,0.3,2.1,2.5,8.6,5.506
277,A.J. Lapray,34,11.2,0.7,2.4,0.309,0.2,0.7,0.333,0.5,1.7,0.298,0.1,0.3,0.556,1.1,0.4,0.3,0.1,0.6,1.2,2.1,1.152
454,A.J. Lawson,9,18.9,3.4,8.1,0.425,2.7,5.8,0.462,0.8,2.3,0.333,1.3,2.3,0.571,3.4,1,0.8,0.3,1.6,2.1,9,5.223
1717,A.J. Lynch,36,13.6,0.8,3.3,0.254,0.5,1.9,0.279,0.3,1.4,0.22,0.3,0.8,0.444,1.3,1.6,0.4,0.1,1.5,1.1,2.3,0.979
942,A.J. Mathew,39,6,0.2,0.6,0.304,0.1,0.3,0.25,0.1,0.3,0.364,0.1,0.1,0.6,0.5,0.3,0.3,0,0.2,0.5,0.5,0.958
2361,A.J. Merriweather,95,24.4,3.2,6.7,0.481,2.7,5.5,0.497,0.5,1.1,0.404,2,2.9,0.708,5.3,1.2,1.2,0.2,1.8,2.4,8.9,8.066
3699,A.J. Mosby,8,25.4,2.3,8.1,0.277,1.5,4.3,0.353,0.8,3.9,0.194,0.8,1.1,0.667,3.9,1.8,1.9,0,1,1.8,6,5.584
